metricId,category,unit,persona,surface,location,extracted,canonical,deltaAbs,deltaRel,toleranceAbs,toleranceRel,severity,triageCode,triage
revenue-quality-by-bucket,revenue,pct,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildRevenueModel linkedMetrics 'Year 1 Contracted Revenue %',—,1.00,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-quality-by-bucket,revenue,pct,oakwood,narrative-bundle.revenueQualityY1,narrativeBundle.revenueQualityY1.{contractedPct|projectedPct|donorDependentPct|policyDependentPct} (×100),1.00,1.00,0.00,0.0000%,0.1,—,pass,in-tolerance,in tolerance
revenue-quality-by-bucket,revenue,pct,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Revenue Quality breakdown card,—,1.00,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
revenue-composition,revenue,pct,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildRevenueModel narrative + linkedMetrics,—,1.00,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-composition,revenue,pct,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Revenue composition pie chart,—,1.00,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
revenue-hard-coverage-y1,revenue,ratio,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildRevenueModel linkedMetrics 'Hard Revenue Coverage (Y1)',—,1.202,—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-hard-coverage-y1,revenue,ratio,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Revenue Quality card hard-coverage stat,—,1.202,—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
cash-runway-months,cash,months,oakwood,artifacts/api-server/src/lib/packets/format-runway.ts,formatRunwayMonths / formatRunwayMonthsShort (canonical formatter),—,3.10,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,"Pure formatter helper (formatRunwayMonths). Numeric input flows from consultant.cashRunwayMonths, which IS diffed by the SUPPLEMENTAL_READERS canonical re-flow section. Covered by test:format-runway."
cash-runway-months,cash,months,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildExecutiveSummary linkedMetrics 'Cash Runway',—,3.10,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
cash-runway-months,cash,months,oakwood,artifacts/school-financial-model/src/components/export/LenderPacketPreview.tsx,CashRunwayCard,—,3.10,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,React preview renders `lenderPacket` props verbatim (same payload diffed at the typed-shape layer). Visual parity covered by wizard-preview-matches-pdf test.
cash-runway-months,cash,months,oakwood,narrative-bundle.cashRunwayMonths,narrativeBundle.cashRunwayMonths,3.10,3.10,0.00,0.0000%,0.1,—,pass,in-tolerance,in tolerance
cash-trough-ending-cash,cash,usd,oakwood,narrative-bundle.troughEndingCash,narrativeBundle.troughEndingCash,34397,34397,0,0.0000%,1,0.001,pass,in-tolerance,in tolerance
cash-trough-ending-cash,cash,usd,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildCashFlow — Cash flow section trough callout,—,34397,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
cash-trough-ending-cash,cash,usd,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Cash trough KPI card,—,34397,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
cash-monthly-low,cash,usd,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildCashFlow — Monthly cash flow trough callout,—,"{""monthIndex"":0,""monthLabel"":""Jan"",""amount"":6213.343702292093,""isNegative"":false,""yearIndex"":0}",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
cash-monthly-low,cash,usd,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Monthly cash low coaching flag,—,"{""monthIndex"":0,""monthLabel"":""Jan"",""amount"":6213.343702292093,""isNegative"":false,""yearIndex"":0}",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
reserve-months-last-year,cash,months,oakwood,narrative-bundle.reserveMonthsLastYear,narrativeBundle.reserveMonthsLastYear,18.90,18.90,0.00,0.0000%,0.1,—,pass,in-tolerance,in tolerance
reserve-months-last-year,cash,months,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Reserve months KPI,—,18.90,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
dscr-year-series-normalized,debt,ratio,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildDebtService — DSCR by year table,—,"[3.11,4.06,14.3,23.69,30.24]",—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
dscr-year-series-normalized,debt,ratio,oakwood,narrative-bundle.dscrY1Normalized,narrativeBundle.dscrY1Normalized (compared to canonical[0]),3.110,3.110,0.000,0.0000%,0.01,—,pass,in-tolerance,in tolerance
dscr-year-series-normalized,debt,ratio,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,DSCR trend chart,—,"[3.11,4.06,14.3,23.69,30.24]",—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
dscr-year-series-reported,debt,ratio,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildDebtService — DSCR table 'as reported' column when founderCompHasAdjustment,—,"[5.86,6.87,17.16,26.59,33.39]",—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
dscr-min-normalized,debt,ratio,oakwood,narrative-bundle.dscrMinNormalized,narrativeBundle.dscrMinNormalized,3.110,3.110,0.000,0.0000%,0.01,—,pass,in-tolerance,in tolerance
dscr-min-normalized,debt,ratio,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildDebtService — Debt service section min-DSCR callout,—,3.110,—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
annual-debt-service,debt,usd,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildDebtService — Debt service table principal+interest column,—,"[4695.8755724948805,4695.8755724948805,4695.8755724948805,4695.8755724948805,4695.8755724948805]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
annual-debt-service,debt,usd,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,YearData.debtService (diagnostic fallback when canonical engine row missing),—,"[4695.8755724948805,4695.8755724948805,4695.8755724948805,4695.8755724948805,4695.8755724948805]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-per-student,per_student,usd,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,KPI grid revenuePerStudent card,—,8282,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
revenue-per-student,per_student,usd,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildHealthAssessment linkedMetrics,—,8282,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
cost-per-student,per_student,usd,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,KPI grid costPerStudent card,—,7162,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
capacity-utilization-y1,capacity_breakeven,pct,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Capacity KPI card,—,88.90,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
capacity-utilization-y1,capacity_breakeven,pct,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildFacilityKPIs — Facility KPIs section,—,88.90,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
break-even-year,capacity_breakeven,year,oakwood,narrative-bundle.breakEvenYear,narrativeBundle.breakEvenYear,1,1,0,0.0000%,0,—,pass,in-tolerance,in tolerance
break-even-year,capacity_breakeven,year,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Break-even year KPI card,—,1,—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
break-even-students-y1,capacity_breakeven,count,oakwood,narrative-bundle.breakEvenStudentsY1,narrativeBundle.breakEvenStudentsY1,17,17,0,0.0000%,0,—,pass,in-tolerance,in tolerance
break-even-students-y1,capacity_breakeven,count,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildFiveYearProjection — Break-even callout under 5-year projection,—,17,—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
stress-base-net-income,stress,usd,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildStressTests — Stress tests table base row,—,"[22825.791094171786,27563.319427505106,75862.04377750511,120147.55583550513,152096.18790957012]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
stress-scenario-dscr,stress,ratio,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildStressTests — DSCR cells in per-scenario rows,—,"[{""name"":""Enrollment -10%"",""dscr"":[2.9,1.41,11.51,18.78,25.34]},{""name"":""Enrollment -20%"",""dscr"":[-0.06,0.61,5.86,12.92,17.29]},{""name"":""Public Funding Delayed 3 Months (public sources only)"",""dscr"":[5.86,6.87,17.16,26.59,33.39]},{""name"":""Rent Shock +25%"",""dscr"":[4.38,5.04,15.27,24.64,31.39]},{""name"":""Founder Comp Normalized to Market"",""dscr"":[3.11,4.06,14.3,23.69,30.24]}]",—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
stress-scenario-dscr,stress,ratio,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Stress tests Min-DSCR column + custom stress test form result,—,"[{""name"":""Enrollment -10%"",""dscr"":[2.9,1.41,11.51,18.78,25.34]},{""name"":""Enrollment -20%"",""dscr"":[-0.06,0.61,5.86,12.92,17.29]},{""name"":""Public Funding Delayed 3 Months (public sources only)"",""dscr"":[5.86,6.87,17.16,26.59,33.39]},{""name"":""Rent Shock +25%"",""dscr"":[4.38,5.04,15.27,24.64,31.39]},{""name"":""Founder Comp Normalized to Market"",""dscr"":[3.11,4.06,14.3,23.69,30.24]}]",—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
stress-scenario-ending-cash,stress,usd,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildStressTests — Min-cash cells in per-scenario rows,—,"[{""name"":""Enrollment -10%"",""endingCash"":[20928.291094171786,22871.648021676898,72204.14676011953,155692.779066976,269982.84467144357]},{""name"":""Enrollment -20%"",""endingCash"":[7030.791094171815,5199.713021676929,28002.66672105706,83997.10638142706,160481.04968079217]},{""name"":""Public Funding Delayed 3 Months (public sources only)"",""endingCash"":[34825.791094171786,62389.11052167689,138251.154299182,258398.71013468713,410494.89804425725]},{""name"":""Rent Shock +25%"",""endingCash"":[27867.45776083847,46830.27718834358,113833.80596584867,224857.0913513538,367555.2806974239]},{""name"":""Founder Comp Normalized to Market"",""endingCash"":[34825.791094171786,62389.11052167689,138251.154299182,258398.71013468713,410494.89804425725]}]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
stress-scenario-ending-cash,stress,usd,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Stress tests Min-cash column + custom stress test form result,—,"[{""name"":""Enrollment -10%"",""endingCash"":[20928.291094171786,22871.648021676898,72204.14676011953,155692.779066976,269982.84467144357]},{""name"":""Enrollment -20%"",""endingCash"":[7030.791094171815,5199.713021676929,28002.66672105706,83997.10638142706,160481.04968079217]},{""name"":""Public Funding Delayed 3 Months (public sources only)"",""endingCash"":[34825.791094171786,62389.11052167689,138251.154299182,258398.71013468713,410494.89804425725]},{""name"":""Rent Shock +25%"",""endingCash"":[27867.45776083847,46830.27718834358,113833.80596584867,224857.0913513538,367555.2806974239]},{""name"":""Founder Comp Normalized to Market"",""endingCash"":[34825.791094171786,62389.11052167689,138251.154299182,258398.71013468713,410494.89804425725]}]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
stress-scenario-net-income,stress,usd,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildStressTests — Y5 net income cells; powers the 'N of M negative Y5' headline,—,"[{""name"":""Enrollment -10%"",""netIncome"":[8928.291094171786,1943.3569275051123,49332.498738442635,83488.63230685648,114290.06560446759]},{""name"":""Enrollment -20%"",""netIncome"":[-4969.208905828185,-1831.0780724948854,22802.95369938013,55994.43966037,76483.94329936511]},{""name"":""Public Funding Delayed 3 Months (public sources only)"",""netIncome"":[22825.791094171786,27563.319427505106,75862.04377750511,120147.55583550513,152096.18790957012]},{""name"":""Rent Shock +25%"",""netIncome"":[15867.457760838472,18962.819427505106,67003.5287775051,111023.28538550512,142698.1893460701]},{""name"":""Founder Comp Normalized to Market"",""netIncome"":[9907.791094171786,14365.429427505107,62440.241777505114,106559.97283550513,137326.6079095701]}]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
stress-scenario-net-income,stress,usd,oakwood,narrative-bundle.negativeY5StressScenarios (count proxy),narrativeBundle.negativeY5StressScenarios.length (drives lender closing paragraph),—,"[{""name"":""Enrollment -10%"",""netIncome"":[8928.291094171786,1943.3569275051123,49332.498738442635,83488.63230685648,114290.06560446759]}, {""name"":""Enrollment -20%"",""netIncome"":[-4969.208905828185,-1831.0780724948854,22802.95369938013,55994.43966037,76483.94329936511]}, {""name"":""Public Funding Delayed 3 Months (public sources only)"",""netIncome"":[22825.791094171786,27563.319427505106,75862.04377750511,120147.55583550513,152096.18790957012]}, {""name"":""Rent Shock +25%"",""netIncome"":[15867.457760838472,18962.819427505106,67003.5287775051,111023.28538550512,142698.1893460701]}, {""name"":""Founder Comp Normalized to Market"",""netIncome"":[9907.791094171786,14365.429427505107,62440.241777505114,106559.97283550513,137326.6079095701]}]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,"Surface only exposes count + names of failing scenarios, not the per-scenario netIncome series (canonical is `co.lenderStressTests.scenarios[*].netIncome`). The count is diffed by the `stress-negative-y5-scenarios` row; per-scenario netIncome is covered by lender-stress-section-snapshot."
stress-worst-scenario,stress,text,oakwood,narrative-bundle.worstStress.name,narrativeBundle.worstStress.name,"""Enrollment -20%""","""Enrollment -20%""",0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
stress-negative-y5-scenarios,stress,count,oakwood,narrative-bundle.negativeY5StressScenarios.length,narrativeBundle.negativeY5StressScenarios.length,0,0,0,0.0000%,0,—,pass,in-tolerance,in tolerance
stress-negative-y5-scenarios,stress,count,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildStressTests — 'N of M scenarios result in negative Y5 net income' headline,—,0,—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
founder-comp-adjustment,founder_comp,usd,oakwood,narrative-bundle.founderCompTotalDelta,narrativeBundle.founderCompTotalDelta,67895,67895,0,0.0000%,1,0.001,pass,in-tolerance,in tolerance
founder-comp-adjustment,founder_comp,usd,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Founder comp normalization callout,—,67895,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
lender-readiness-uncapped,rating,enum,oakwood,lenderPacket.lenderReadiness.result.uncappedRating,lenderPacket.lenderReadiness.result.uncappedRating,"""Strong""","""Strong""",0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
lender-readiness-effective,rating,enum,oakwood,lenderPacket.lenderReadiness.status,lenderPacket.lenderReadiness.status,"""Needs Work""","""Needs Work""",0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
lender-readiness-effective,rating,enum,oakwood,lenderPacket.lenderReadiness.result.effectiveRating,lenderPacket.lenderReadiness.result.effectiveRating,"""Needs Work""","""Needs Work""",0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
lender-readiness-effective,rating,enum,oakwood,artifacts/school-financial-model/src/components/export/LenderPacketPreview.tsx,NarrativeHeader readiness banner,—,"""Needs Work""",—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,React preview renders `lenderPacket` props verbatim (same payload diffed at the typed-shape layer). Visual parity covered by wizard-preview-matches-pdf test.
lender-readiness-effective,rating,enum,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Lender readiness card,—,"""Needs Work""",—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
lender-readiness-cap,rating,text,oakwood,artifacts/school-financial-model/src/components/export/LenderPacketPreview.tsx,Cap callout (testid readiness-cap-callout-packet),—,0,—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,React preview renders `lenderPacket` props verbatim (same payload diffed at the typed-shape layer). Visual parity covered by wizard-preview-matches-pdf test.
lender-readiness-cap,rating,text,oakwood,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Cap-preview CTA on consultant analysis view (#966),—,0,—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
lender-readiness-cap,rating,text,oakwood,lenderPacket.lenderReadiness.result.cap.taggedFraction,lenderPacket.lenderReadiness.result.cap.taggedFraction,0,0,0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
biggest-strength,rating,text,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildExecutiveSummary linkedMetrics — biggestStrength entry,—,"""Strong Year 5 profit""",—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
biggest-strength,rating,text,oakwood,narrative-bundle.biggestStrength,narrativeBundle.biggestStrength,"""Strong Year 5 profit""","""Strong Year 5 profit""",0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
biggest-risk,rating,text,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildExecutiveSummary linkedMetrics — biggestRisk entry,—,"""No major red flags detected, so continue refining assumptions as you gather real data.""",—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
biggest-risk,rating,text,oakwood,narrative-bundle.biggestRisk,narrativeBundle.biggestRisk,"""No major red flags detected, so continue refining assumptions as you gather real data.""","""No major red flags detected, so continue refining assumptions as you gather real data.""",0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
assumption-registry,assumptions,text,oakwood,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildAppendixAssumptions,—,"[""benefits_rate"",""enrollment_y1"",""enrollment_y5"",""facility_rent_y1"",""founder_compensation_y1"",""general_cost_inflation"",""loan_debt_service_y1"",""loan_principal"",""loan_rate"",""loan_term_years"",""operating_expenses_y1"",""payroll_tax_rate"",""philanthropy_revenue_y1"",""public_funding_y1"",""retention_rate"",""staffing_salary_escalation"",""staffing_total_cost"",""starting_cash"",""tuition_collection_rate"",""tuition_escalation"",""tuition_per_student"",""year1_operating_months""]",—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
assumption-registry,assumptions,text,oakwood,artifacts/school-financial-model/src/components/wizard/AssumptionConfidenceCard.tsx,Per-assumption evidence-tagging card (drives cap denominator),—,"[""benefits_rate"",""enrollment_y1"",""enrollment_y5"",""facility_rent_y1"",""founder_compensation_y1"",""general_cost_inflation"",""loan_debt_service_y1"",""loan_principal"",""loan_rate"",""loan_term_years"",""operating_expenses_y1"",""payroll_tax_rate"",""philanthropy_revenue_y1"",""public_funding_y1"",""retention_rate"",""staffing_salary_escalation"",""staffing_total_cost"",""starting_cash"",""tuition_collection_rate"",""tuition_escalation"",""tuition_per_student"",""year1_operating_months""]",—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,Wizard UI drives the persona-independent ASSUMPTION_REGISTRY (cap denominator). Per-persona numeric diff is not meaningful; the registry catalog is asserted by lender-readiness-cap tests.
